Min: 29.0188 Max: 29.8063 Diff: 0.787498
Min: 29.0359 Max: 29.948 Diff: 0.9121
Min: 29.0595 Max: 29.9177 Diff: 0.8582
Min: 29.1387 Max: 29.9768 Diff: 0.8381
Min: 29.0108 Max: 29.9491 Diff: 0.938301
Min: 29.0099 Max: 29.9953 Diff: 0.985401
Min: 29.0345 Max: 29.9805 Diff: 0.945999
Min: 29.0117 Max: 29.9865 Diff: 0.9748
Min: 29.0305 Max: 29.9868 Diff: 0.956299
Min: 29.0356 Max: 29.9864 Diff: 0.9508
Min: 29.103 Max: 29.9992 Diff: 0.8962
Min: 29.0364 Max: 29.9851 Diff: 0.9487
Min: 29.0308 Max: 29.9453 Diff: 0.914499
Min: 29.0352 Max: 29.9706 Diff: 0.9354
Min: 29.0195 Max: 29.9924 Diff: 0.972898
Min: 29.0532 Max: 29.9771 Diff: 0.923901
Min: 29.0171 Max: 29.896 Diff: 0.878901
Min: 29.0913 Max: 29.896 Diff: 0.804701
Min: 29.0037 Max: 29.9495 Diff: 0.945799
Min: 29.0399 Max: 29.9159 Diff: 0.875999
Min: 29.0296 Max: 29.9721 Diff: 0.942499
Min: 29.158 Max: 29.991 Diff: 0.832998
Min: 29.0056 Max: 29.9601 Diff: 0.9545
Min: 29.0441 Max: 29.9766 Diff: 0.932501
Min: 29.0157 Max: 29.9979 Diff: 0.982201
Min: 29.0022 Max: 29.9592 Diff: 0.957001
Min: 29.0601 Max: 29.9963 Diff: 0.936199
Min: 29.0192 Max: 29.9366 Diff: 0.9174
Min: 29.1122 Max: 29.9668 Diff: 0.854601
Min: 29.1431 Max: 29.9768 Diff: 0.8337
